;Value;Score
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.6666666666666666;1
NOCOnto;2.6666666666666665;5
CBOOnto;0.5333333333333333;1
RFCOnto;4.666666666666667;4
NOMOnto;4.133333333333334;3
RROnto;0.11428571428571428;1
PROnto;0.8857142857142857;5
AROnto;0.0;1
INROnto;0.5333333333333333;3
ANOnto;2.0;5
TMOnto2;0.5333333333333333;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.8387096774193549;1
NOCOnto;2.6;5
CBOOnto;0.6341463414634146;1
RFCOnto;1.6585365853658536;5
NOMOnto;1.024390243902439;5
RROnto;0.38235294117647056;2
PROnto;0.6176470588235294;4
AROnto;0.5365853658536586;3
INROnto;0.6341463414634146;4
ANOnto;0.0;1
TMOnto2;0.6341463414634146;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.987012987012987;1
NOCOnto;5.71875;4
CBOOnto;0.9838709677419355;1
RFCOnto;0.9838709677419355;1
NOMOnto;0.0;5
RROnto;1.0;5
PROnto;0.0;1
AROnto;0.0;1
INROnto;0.9838709677419355;5
ANOnto;6.032258064516129;5
TMOnto2;0.9838709677419355;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.7931034482758621;1
NOCOnto;2.125;5
CBOOnto;0.7555555555555555;1
RFCOnto;1.6;5
NOMOnto;0.8444444444444444;5
RROnto;0.4722222222222222;3
PROnto;0.5277777777777778;3
AROnto;1.2;5
INROnto;0.7555555555555555;4
ANOnto;2.7111111111111112;5
TMOnto2;0.7555555555555555;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.13333333333333333;1
NOCOnto;1.0;5
CBOOnto;0.11764705882352941;1
RFCOnto;2.235294117647059;5
NOMOnto;2.1176470588235294;4
RROnto;0.05263157894736842;1
PROnto;0.9473684210526315;5
AROnto;1.1764705882352942;5
