;Score
Adaptability;2.75
Recoverability;3.5
Availability;4.75
Replaceability;3.5
Learnability;3.8333333333333335
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;2.0
Recoverability;4.0
Availability;3.75
Replaceability;3.75
Learnability;3.5
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;3.0
Recoverability;3.75
Availability;5.0
Replaceability;3.75
Learnability;4.166666666666667
Adaptability;2.0
Recoverability;4.0
Availability;3.5
Replaceability;3.5
Learnability;3.3333333333333335
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;2.0
Recoverability;4.0
Availability;4.0
Replaceability;4.0
Learnability;3.6666666666666665
Adaptability;3.0
Recoverability;3.75
Availability;4.75
Replaceability;3.5
Learnability;4.0
Adaptability;4.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;5.0
Adaptability;4.0
Recoverability;4.0
Availability;4.75
Replaceability;3.75
Learnability;4.833333333333333
Adaptability;2.75
Recoverability;3.25
Availability;4.0
Replaceability;3.75
Learnability;3.6666666666666665
Adaptability;3.25
Recoverability;2.75
Availability;3.25
Replaceability;3.0
Learnability;3.8333333333333335
Adaptability;3.0
Recoverability;4.0
Availability;4.0
Replaceability;3.0
Learnability;3.6666666666666665
Adaptability;3.0
Recoverability;4.0
Availability;4.75
Replaceability;3.75
Learnability;4.166666666666667
Adaptability;3.0
Recoverability;4.0
Availability;4.0
Replaceability;3.0
Learnability;3.6666666666666665
Adaptability;4.0
Recoverability;4.0
Availability;4.75
Replaceability;3.75
Learnability;4.833333333333333
Adaptability;3.75
Recoverability;3.75
Availability;4.75
Replaceability;3.75
Learnability;4.666666666666667
Adaptability;4.0
Recoverability;4.0
Availability;4.75
Replaceability;3.75
Learnability;4.833333333333333
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;4.0
Recoverability;5.0
Availability;5.0
Replaceability;5.0
Learnability;4.333333333333333
Adaptability;3.0
Recoverability;4.0
Availability;4.0
Replaceability;3.0
Learnability;3.6666666666666665
Adaptability;3.75
Recoverability;3.75
Availability;4.75
Replaceability;3.75
Learnability;4.666666666666667
Adaptability;2.0
Recoverability;4.0
Availability;3.5
Replaceability;3.5
Learnability;3.3333333333333335
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;4.75
Recoverability;4.75
Availability;4.75
Replaceability;4.75
Learnability;4.666666666666667
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;3.0
Recoverability;4.0
Availability;5.0
Replaceability;4.0
Learnability;4.333333333333333
Adaptability;3.0
Recoverability;4.0
Availability;4.75
Replaceability;3.75
Learnability;4.166666666666667
Adaptability;3.0
Recoverability;4.0
Availability;4.75
Replaceability;3.75
Learnability;4.166666666666667
Adaptability;2.0
Recoverability;4.0
Availability;3.75
Replaceability;3.75
Learnability;3.5
Adaptability;2.0
Recoverability;4.0
Availability;4.0
Replaceability;4.0
Learnability;3.6666666666666665
