;Score
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";3.0
"Consistent
 Search & Query";3.0
"Knowledge
 acquisition";3.0
"Clustering &
 similiraty";1.0
"Indexing &
 linking";1.6666666666666667
"Results
 representation";1.0
Text analysis;5.0
"Guidance &
 decision trees";2.0
"Knowledge
 reuse";3.857142857142857
"Controlled
 vocabulary";1.0
"Schema &
 value reconciliation";3.75
"Consistent
 Search & Query";3.0
"Knowledge
 acquisition";2.6666666666666665
"Clustering &
 similiraty";2.5
"Indexing &
 linking";3.0
"Results
 representation";2.0
Text analysis;5.0
"Guidance &
 decision trees";3.5
"Knowledge
 reuse";4.0
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";4.0
"Consistent
 Search & Query";4.2
"Knowledge
 acquisition";5.0
"Clustering &
 similiraty";3.0
"Indexing &
 linking";3.6666666666666665
"Results
 representation";1.0
Text analysis;5.0
"Guidance &
 decision trees";3.0
"Knowledge
 reuse";4.428571428571429
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";4.5
"Consistent
 Search & Query";4.4
"Knowledge
 acquisition";4.333333333333333
"Clustering &
 similiraty";4.0
"Indexing &
 linking";4.0
"Results
 representation";3.0
Text analysis;5.0
"Guidance &
 decision trees";4.5
"Knowledge
 reuse";4.857142857142857
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";4.0
"Consistent
 Search & Query";3.4
"Knowledge
 acquisition";3.3333333333333335
"Clustering &
 similiraty";3.0
"Indexing &
 linking";2.3333333333333335
"Results
 representation";3.0
Text analysis;5.0
"Guidance &
 decision trees";3.0
"Knowledge
 reuse";4.285714285714286
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";4.25
"Consistent
 Search & Query";4.4
"Knowledge
 acquisition";5.0
"Clustering &
 similiraty";3.5
"Indexing &
 linking";4.0
"Results
 representation";1.5
Text analysis;5.0
"Guidance &
 decision trees";3.5
"Knowledge
 reuse";4.571428571428571
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";4.25
"Consistent
 Search & Query";4.2
"Knowledge
 acquisition";4.0
"Clustering &
 similiraty";3.5
"Indexing &
 linking";3.6666666666666665
"Results
 representation";3.0
Text analysis;5.0
"Guidance &
 decision trees";4.5
"Knowledge
 reuse";4.857142857142857
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";4.25
"Consistent
 Search & Query";4.0
"Knowledge
 acquisition";4.0
"Clustering &
 similiraty";3.5
"Indexing &
 linking";3.3333333333333335
"Results
 representation";3.0
Text analysis;5.0
"Guidance &
 decision trees";4.0
