;Score
Structural;4.333333333333333
"Functional
adequacy";2.740740740740741
Transferability;2.75
Reliability;4.125
Compatibility;3.5
Maintainability;3.352380952380952
Operability;3.8333333333333335
Structural;3.8333333333333335
"Functional
adequacy";2.935185185185185
Transferability;3.0
Reliability;4.5
Compatibility;4.0
Maintainability;3.6780952380952376
Operability;4.333333333333333
Structural;5.0
"Functional
adequacy";3.762962962962963
Transferability;2.0
Reliability;3.875
Compatibility;3.75
Maintainability;3.0352380952380953
Operability;3.5
Structural;4.666666666666667
"Functional
adequacy";4.303703703703704
Transferability;3.0
Reliability;4.5
Compatibility;4.0
Maintainability;3.6780952380952376
Operability;4.333333333333333
Structural;4.333333333333333
"Functional
adequacy";3.5629629629629633
Transferability;3.0
Reliability;4.375
Compatibility;3.75
Maintainability;3.5828571428571427
Operability;4.166666666666667
Structural;5.0
"Functional
adequacy";4.016666666666667
Transferability;2.0
Reliability;3.75
Compatibility;3.5
Maintainability;2.933333333333333
Operability;3.3333333333333335
Structural;4.5
"Functional
adequacy";4.124074074074074
Transferability;3.0
Reliability;4.5
Compatibility;4.0
Maintainability;3.6780952380952376
Operability;4.333333333333333
Structural;4.5
"Functional
adequacy";4.0092592592592595
Transferability;3.0
Reliability;4.5
Compatibility;4.0
Maintainability;3.6780952380952376
Operability;4.333333333333333
Structural;5.0
"Functional
adequacy";4.40925925925926
Transferability;2.0
Reliability;4.0
Compatibility;4.0
Maintainability;3.137142857142857
Operability;3.6666666666666665
Structural;4.333333333333333
"Functional
adequacy";2.7777777777777777
Transferability;3.0
Reliability;4.25
Compatibility;3.5
Maintainability;3.480952380952381
Operability;4.0
Structural;4.5
"Functional
adequacy";3.3629629629629627
Transferability;4.0
Reliability;4.5
Compatibility;4.0
Maintainability;4.619047619047619
Operability;5.0
Structural;5.0
"Functional
adequacy";3.762962962962963
Transferability;4.0
Reliability;4.375
Compatibility;3.75
Maintainability;4.517142857142857
Operability;4.833333333333333
Structural;4.333333333333333
"Functional
adequacy";4.05
Transferability;2.75
Reliability;3.625
Compatibility;3.75
Maintainability;3.099047619047619
Operability;3.6666666666666665
Structural;4.666666666666667
"Functional
adequacy";4.016666666666667
Transferability;3.25
Reliability;3.0
Compatibility;3.0
Maintainability;3.467619047619048
Operability;3.8333333333333335
Structural;4.5
"Functional
adequacy";2.8796296296296298
Transferability;3.0
Reliability;4.0
Compatibility;3.0
Maintainability;3.2704761904761903
Operability;3.6666666666666665
Structural;4.333333333333333
"Functional
adequacy";2.662962962962963
Transferability;2.75
Reliability;4.25
Compatibility;3.75
Maintainability;3.4476190476190482
Operability;4.0
Structural;4.833333333333333
"Functional
adequacy";3.468518518518519
Transferability;3.0
Reliability;4.375
Compatibility;3.75
Maintainability;3.576190476190476
Operability;4.166666666666667
Structural;4.5
"Functional
adequacy";3.2481481481481485
Transferability;3.0
Reliability;4.0
Compatibility;3.0
Maintainability;3.2704761904761903
Operability;3.6666666666666665
Structural;4.666666666666667
"Functional
adequacy";3.4037037037037035
Transferability;4.0
Reliability;4.375
Compatibility;3.75
Maintainability;4.517142857142857
Operability;4.833333333333333
Structural;4.333333333333333
"Functional
adequacy";2.662962962962963
Transferability;3.75
Reliability;4.25
Compatibility;3.75
Maintainability;4.388571428571429
Operability;4.666666666666667
Structural;4.666666666666667
"Functional
adequacy";4.1648148148148145
Transferability;4.0
Reliability;4.375
Compatibility;3.75
Maintainability;4.517142857142857
Operability;4.833333333333333
Structural;4.833333333333333
"Functional
adequacy";3.353703703703703
Transferability;3.0
Reliability;4.5
Compatibility;4.0
Maintainability;3.6780952380952376
Operability;4.333333333333333
Structural;4.333333333333333
"Functional
adequacy";2.814814814814815
Transferability;3.0
Reliability;4.5
Compatibility;4.0
Maintainability;3.6780952380952376
Operability;4.333333333333333
Structural;4.5
"Functional
adequacy";2.9944444444444445
Transferability;4.0
Reliability;5.0
Compatibility;5.0
Maintainability;4.059047619047619
Operability;4.333333333333333
Structural;4.166666666666667
"Functional
adequacy";2.414814814814815
Transferability;3.0
Reliability;4.0
Compatibility;3.0
Maintainability;3.2704761904761903
Operability;3.6666666666666665
Structural;3.8333333333333335
"Functional
adequacy";3.5203703703703706
Transferability;3.75
Reliability;4.25
Compatibility;3.75
Maintainability;4.388571428571429
Operability;4.666666666666667
Structural;5.0
"Functional
adequacy";3.762962962962963
Transferability;4.0
Reliability;4.5
Compatibility;4.0
Maintainability;4.619047619047619
Operability;5.0
Structural;5.0
"Functional
adequacy";3.762962962962963
Transferability;2.0
Reliability;3.75
Compatibility;3.5
Maintainability;2.933333333333333
Operability;3.3333333333333335
Structural;4.666666666666667
"Functional
adequacy";3.1740740740740745
Transferability;3.0
Reliability;4.5
Compatibility;4.0
Maintainability;3.6780952380952376
Operability;4.333333333333333
Structural;4.333333333333333
